EKF: 
[LASER] Initializing x: 
0.312243
 0.58034
     5.5
     0.5
>> Accuracy | rmse_px -> 0.0766748  | rmse_py -> 0.0971619  | rmse_vx -> 0.411899   | rmse_vy -> 0.494045  
>> Accuracy | rmse_px -> 0.077324   | rmse_py -> 0.0967457  | rmse_vx -> 0.412847   | rmse_vy -> 0.492025  
>> Accuracy | rmse_px -> 0.0779926  | rmse_py -> 0.09652    | rmse_vx -> 0.412779   | rmse_vy -> 0.490899  
>> Accuracy | rmse_px -> 0.0783685  | rmse_py -> 0.0960896  | rmse_vx -> 0.41274    | rmse_vy -> 0.488836  
>> Accuracy | rmse_px -> 0.0786269  | rmse_py -> 0.0957263  | rmse_vx -> 0.412269   | rmse_vy -> 0.487113  
>> Accuracy | rmse_px -> 0.0783747  | rmse_py -> 0.0953319  | rmse_vx -> 0.411242   | rmse_vy -> 0.484954  
>> Accuracy | rmse_px -> 0.0781521  | rmse_py -> 0.0949152  | rmse_vx -> 0.410537   | rmse_vy -> 0.482878  
>> Accuracy | rmse_px -> 0.0783577  | rmse_py -> 0.0945047  | rmse_vx -> 0.411559   | rmse_vy -> 0.480791  
>> Accuracy | rmse_px -> 0.0783462  | rmse_py -> 0.0943071  | rmse_vx -> 0.409926   | rmse_vy -> 0.480695  
>> Accuracy | rmse_px -> 0.0789667  | rmse_py -> 0.0943582  | rmse_vx -> 0.409404   | rmse_vy -> 0.48053   
>> Accuracy | rmse_px -> 0.0797892  | rmse_py -> 0.0949009  | rmse_vx -> 0.409355   | rmse_vy -> 0.480792  
>> Accuracy | rmse_px -> 0.0802264  | rmse_py -> 0.0950522  | rmse_vx -> 0.409198   | rmse_vy -> 0.479578  
>> Accuracy | rmse_px -> 0.0807469  | rmse_py -> 0.0954662  | rmse_vx -> 0.409617   | rmse_vy -> 0.478287  
>> Accuracy | rmse_px -> 0.0812179  | rmse_py -> 0.0960111  | rmse_vx -> 0.410554   | rmse_vy -> 0.476691  
>> Accuracy | rmse_px -> 0.0818173  | rmse_py -> 0.0970747  | rmse_vx -> 0.410818   | rmse_vy -> 0.475771  
>> Accuracy | rmse_px -> 0.0820511  | rmse_py -> 0.0974829  | rmse_vx -> 0.410787   | rmse_vy -> 0.473951  
>> Accuracy | rmse_px -> 0.0821491  | rmse_py -> 0.0983173  | rmse_vx -> 0.409273   | rmse_vy -> 0.473445  
>> Accuracy | rmse_px -> 0.0818282  | rmse_py -> 0.0982008  | rmse_vx -> 0.407636   | rmse_vy -> 0.471573  
>> Accuracy | rmse_px -> 0.0815522  | rmse_py -> 0.0980273  | rmse_vx -> 0.40656    | rmse_vy -> 0.469883  
>> Accuracy | rmse_px -> 0.0813526  | rmse_py -> 0.0976902  | rmse_vx -> 0.405083   | rmse_vy -> 0.468928  
>> Accuracy | rmse_px -> 0.0811585  | rmse_py -> 0.0973599  | rmse_vx -> 0.40374    | rmse_vy -> 0.467943  
>> Accuracy | rmse_px -> 0.0808464  | rmse_py -> 0.097012   | rmse_vx -> 0.403262   | rmse_vy -> 0.467267  
>> Accuracy | rmse_px -> 0.0805497  | rmse_py -> 0.096833   | rmse_vx -> 0.401917   | rmse_vy -> 0.465497  
>> Accuracy | rmse_px -> 0.0803062  | rmse_py -> 0.0969396  | rmse_vx -> 0.401663   | rmse_vy -> 0.463727  
>> Accuracy | rmse_px -> 0.080301   | rmse_py -> 0.0971089  | rmse_vx -> 0.401878   | rmse_vy -> 0.461967  
>> Accuracy | rmse_px -> 0.0800794  | rmse_py -> 0.0969367  | rmse_vx -> 0.401572   | rmse_vy -> 0.460597  
>> Accuracy | rmse_px -> 0.0798821  | rmse_py -> 0.0970216  | rmse_vx -> 0.400754   | rmse_vy -> 0.458877  
>> Accuracy | rmse_px -> 0.0798424  | rmse_py -> 0.0972377  | rmse_vx -> 0.400697   | rmse_vy -> 0.457214  
>> Accuracy | rmse_px -> 0.0799387  | rmse_py -> 0.0973551  | rmse_vx -> 0.400559   | rmse_vy -> 0.455591  
>> Accuracy | rmse_px -> 0.0798019  | rmse_py -> 0.0975834  | rmse_vx -> 0.400189   | rmse_vy -> 0.454149  
>> Accuracy | rmse_px -> 0.0796694  | rmse_py -> 0.0977447  | rmse_vx -> 0.399276   | rmse_vy -> 0.452586  
>> Accuracy | rmse_px -> 0.0793873  | rmse_py -> 0.097542   | rmse_vx -> 0.398047   | rmse_vy -> 0.451834  
>> Accuracy | rmse_px -> 0.0791047  | rmse_py -> 0.0977533  | rmse_vx -> 0.396638   | rmse_vy -> 0.450258  
>> Accuracy | rmse_px -> 0.0788302  | rmse_py -> 0.0977041  | rmse_vx -> 0.395277   | rmse_vy -> 0.449123  
>> Accuracy | rmse_px -> 0.0785523  | rmse_py -> 0.0976699  | rmse_vx -> 0.394141   | rmse_vy -> 0.448341  
>> Accuracy | rmse_px -> 0.078314   | rmse_py -> 0.0973572  | rmse_vx -> 0.392882   | rmse_vy -> 0.449068  
>> Accuracy | rmse_px -> 0.0781289  | rmse_py -> 0.0970212  | rmse_vx -> 0.391518   | rmse_vy -> 0.449759  
>> Accuracy | rmse_px -> 0.077861   | rmse_py -> 0.0967351  | rmse_vx -> 0.390478   | rmse_vy -> 0.451306  
>> Accuracy | rmse_px -> 0.0775968  | rmse_py -> 0.0964145  | rmse_vx -> 0.38917    | rmse_vy -> 0.451215  
>> Accuracy | rmse_px -> 0.0773344  | rmse_py -> 0.0961777  | rmse_vx -> 0.387997   | rmse_vy -> 0.452123  
>> Accuracy | rmse_px -> 0.0770812  | rmse_py -> 0.0959501  | rmse_vx -> 0.386689   | rmse_vy -> 0.451878  
>> Accuracy | rmse_px -> 0.0768562  | rmse_py -> 0.0957185  | rmse_vx -> 0.385389   | rmse_vy -> 0.452113  
>> Accuracy | rmse_px -> 0.076678   | rmse_py -> 0.0954776  | rmse_vx -> 0.384206   | rmse_vy -> 0.45152   
>> Accuracy | rmse_px -> 0.0767802  | rmse_py -> 0.09526    | rmse_vx -> 0.383181   | rmse_vy -> 0.451555  
>> Accuracy | rmse_px -> 0.0770341  | rmse_py -> 0.0949607  | rmse_vx -> 0.382711   | rmse_vy -> 0.450312  
>> Accuracy | rmse_px -> 0.0772832  | rmse_py -> 0.0946504  | rmse_vx -> 0.381888   | rmse_vy -> 0.449262  
>> Accuracy | rmse_px -> 0.0775723  | rmse_py -> 0.0943475  | rmse_vx -> 0.38115    | rmse_vy -> 0.448208  
>> Accuracy | rmse_px -> 0.0774     | rmse_py -> 0.0940438  | rmse_vx -> 0.379919   | rmse_vy -> 0.447372  
>> Accuracy | rmse_px -> 0.0773739  | rmse_py -> 0.0937458  | rmse_vx -> 0.378899   | rmse_vy -> 0.446307  
>> Accuracy | rmse_px -> 0.077362   | rmse_py -> 0.0934687  | rmse_vx -> 0.377818   | rmse_vy -> 0.445752  
>> Accuracy | rmse_px -> 0.0773822  | rmse_py -> 0.093183   | rmse_vx -> 0.376953   | rmse_vy -> 0.444675  
>> Accuracy | rmse_px -> 0.0773168  | rmse_py -> 0.0929168  | rmse_vx -> 0.375852   | rmse_vy -> 0.443593  
>> Accuracy | rmse_px -> 0.0773481  | rmse_py -> 0.0927324  | rmse_vx -> 0.37496    | rmse_vy -> 0.442267  
>> Accuracy | rmse_px -> 0.0771571  | rmse_py -> 0.0925961  | rmse_vx -> 0.373802   | rmse_vy -> 0.441075  
>> Accuracy | rmse_px -> 0.0770772  | rmse_py -> 0.0926873  | rmse_vx -> 0.372849   | rmse_vy -> 0.439715  
>> Accuracy | rmse_px -> 0.0768431  | rmse_py -> 0.0930235  | rmse_vx -> 0.371705   | rmse_vy -> 0.438387  
>> Accuracy | rmse_px -> 0.076667   | rmse_py -> 0.0932432  | rmse_vx -> 0.370608   | rmse_vy -> 0.437324  
>> Accuracy | rmse_px -> 0.0767984  | rmse_py -> 0.0930618  | rmse_vx -> 0.369919   | rmse_vy -> 0.437347  
>> Accuracy | rmse_px -> 0.0770671  | rmse_py -> 0.0928616  | rmse_vx -> 0.36968    | rmse_vy -> 0.436813  
>> Accuracy | rmse_px -> 0.0768566  | rmse_py -> 0.0927086  | rmse_vx -> 0.368598   | rmse_vy -> 0.436411  
>> Accuracy | rmse_px -> 0.0766642  | rmse_py -> 0.0924799  | rmse_vx -> 0.367563   | rmse_vy -> 0.436644  
>> Accuracy | rmse_px -> 0.0765388  | rmse_py -> 0.0922736  | rmse_vx -> 0.366607   | rmse_vy -> 0.437052  
>> Accuracy | rmse_px -> 0.0764607  | rmse_py -> 0.0920657  | rmse_vx -> 0.365541   | rmse_vy -> 0.43657   
>> Accuracy | rmse_px -> 0.0762525  | rmse_py -> 0.0917978  | rmse_vx -> 0.36478    | rmse_vy -> 0.437048  
>> Accuracy | rmse_px -> 0.076032   | rmse_py -> 0.0915606  | rmse_vx -> 0.364066   | rmse_vy -> 0.436512  
